Date,Open
27-Jan-12,-1.09
28-Jan-12,-0.87
29-Jan-12,0.27
30-Jan-12,-0.07
31-Jan-12,0.42
1-Feb-12,-0.06
2-Feb-12,-0.59
3-Feb-12,-0.59
4-Feb-12,0.62
5-Feb-12,0.8
6-Feb-12,0.34
7-Feb-12,-0.19
8-Feb-12,0.43
9-Feb-12,0.02
10-Feb-12,-0.6
11-Feb-12,-0.57
12-Feb-12,-0.62
13-Feb-12,0.79
14-Feb-12,0.37
15-Feb-12,0.11
16-Feb-12,0.11
17-Feb-12,-0.38
18-Feb-12,0.07
19-Feb-12,-0.34
20-Feb-12,0.68
21-Feb-12,0.83
22-Feb-12,2.01
23-Feb-12,3.02
24-Feb-12,-0.25
25-Feb-12,-1.17
26-Feb-12,-0.54
27-Feb-12,-0.15
28-Feb-12,0.72
29-Feb-12,-0.06
1-Mar-12,-1.08
2-Mar-12,0.07
3-Mar-12,-0.31
4-Mar-12,-0.18
5-Mar-12,-0.01
6-Mar-12,-2.16
7-Mar-12,1.15
8-Mar-12,0.05
9-Mar-12,-1.25
10-Mar-12,-0.76
11-Mar-12,-0.42
12-Mar-12,-0.1
13-Mar-12,1.41
14-Mar-12,2.29
15-Mar-12,0.54
16-Mar-12,-0.18
17-Mar-12,0.36
18-Mar-12,0.26
19-Mar-12,0.95
20-Mar-12,0.64
21-Mar-12,0.39
22-Mar-12,-0.29
23-Mar-12,-0.11
24-Mar-12,-1.64
25-Mar-12,0.01
26-Mar-12,-0.81
27-Mar-12,-0.4
28-Mar-12,-0.29
29-Mar-12,-0.77
30-Mar-12,0.08
31-Mar-12,-1.72
1-Apr-12,-1.9
2-Apr-12,-0.28
3-Apr-12,-1.61
4-Apr-12,-0.27
5-Apr-12,-0.25
6-Apr-12,-1.38
7-Apr-12,-0.77
8-Apr-12,-0.37
9-Apr-12,-0.64
10-Apr-12,-0.51
11-Apr-12,-0.31
12-Apr-12,-0.04
13-Apr-12,3.02
14-Apr-12,-0.66
15-Apr-12,-0.31
16-Apr-12,0.55
17-Apr-12,0.43
18-Apr-12,0.44
19-Apr-12,-0.45
20-Apr-12,-1.15
21-Apr-12,0.22
22-Apr-12,-0.11
23-Apr-12,0.26
24-Apr-12,0.1
25-Apr-12,0.07
26-Apr-12,-0.1
27-Apr-12,0.81
28-Apr-12,0.09
29-Apr-12,0.59
30-Apr-12,-1.31
1-May-12,2.33
2-May-12,-0.47
3-May-12,0.26
4-May-12,0.04
5-May-12,-0.43
6-May-12,0.57
7-May-12,-0.43
8-May-12,0.28
9-May-12,0.09
10-May-12,-0.4
11-May-12,-0.33
12-May-12,-0.38
13-May-12,-0.3
14-May-12,-1.55
15-May-12,-1.49
16-May-12,0.84
17-May-12,-0.04
18-May-12,-0.59
19-May-12,-0.34
20-May-12,-0.65
21-May-12,-0.96
22-May-12,0.46
23-May-12,-0.72
24-May-12,0
25-May-12,-0.18
26-May-12,0.12
27-May-12,0.9
28-May-12,-0.29
29-May-12,0.07
30-May-12,0.35
31-May-12,-0.16
1-Jun-12,2.05
2-Jun-12,1.01
3-Jun-12,-0.06
4-Jun-12,0.54
5-Jun-12,-0.01
6-Jun-12,-0.23
7-Jun-12,-3.37
8-Jun-12,1.5
9-Jun-12,0.2
10-Jun-12,0.58
11-Jun-12,0.38
12-Jun-12,0.24
13-Jun-12,1.48
14-Jun-12,1.22
15-Jun-12,-0.09
16-Jun-12,-0.92
17-Jun-12,0.78
18-Jun-12,-0.22
19-Jun-12,-0.73
20-Jun-12,-0.29
21-Jun-12,-0.4
22-Jun-12,-0.96
23-Jun-12,0.53
24-Jun-12,-0.34
25-Jun-12,0.79
26-Jun-12,-0.46
27-Jun-12,0.53
28-Jun-12,-0.37
29-Jun-12,-0.26
30-Jun-12,0.27
1-Jul-12,-0.9
2-Jul-12,0.36
3-Jul-12,0.36
4-Jul-12,-0.63
5-Jul-12,0.34
6-Jul-12,-0.54
7-Jul-12,0.99
8-Jul-12,0.45
9-Jul-12,-0.81
10-Jul-12,1.89
11-Jul-12,-1.79
12-Jul-12,-0.05
13-Jul-12,0.32
14-Jul-12,-0.02
15-Jul-12,0.43
16-Jul-12,0.39
17-Jul-12,-0.22
18-Jul-12,0.22
19-Jul-12,-0.82
20-Jul-12,-0.01
21-Jul-12,0.96
22-Jul-12,-0.14
23-Jul-12,-0.13
24-Jul-12,-1.03
25-Jul-12,-0.29
26-Jul-12,-0.43
27-Jul-12,0.06
28-Jul-12,-0.16
29-Jul-12,-0.27
30-Jul-12,-0.56
31-Jul-12,0.07
1-Aug-12,-1.12
2-Aug-12,0.24
3-Aug-12,-0.74
4-Aug-12,0.24
5-Aug-12,-0.11
6-Aug-12,-2.53
7-Aug-12,-3.81
8-Aug-12,0.79
9-Aug-12,0.84
10-Aug-12,0.32
11-Aug-12,0.25
12-Aug-12,-0.34
13-Aug-12,1.29
14-Aug-12,0.68
15-Aug-12,0.17
16-Aug-12,0.88
17-Aug-12,0.93
18-Aug-12,1.17
19-Aug-12,-1.51
20-Aug-12,-0.29
21-Aug-12,0.6
22-Aug-12,0.48
23-Aug-12,-0.3
24-Aug-12,3.02
25-Aug-12,-0.15
26-Aug-12,-1.32
27-Aug-12,0.27
28-Aug-12,1.48
29-Aug-12,0.91
30-Aug-12,0.74
31-Aug-12,-1.31
1-Sep-12,0.76
2-Sep-12,0.7
3-Sep-12,0.73
4-Sep-12,-0.13
5-Sep-12,-1.78
6-Sep-12,-0.36
7-Sep-12,0.24
8-Sep-12,-0.26
9-Sep-12,0.64
10-Sep-12,0.68
11-Sep-12,-1.89
12-Sep-12,0.67
13-Sep-12,0.68
14-Sep-12,0.03
15-Sep-12,-1.26
16-Sep-12,0.95
17-Sep-12,1.67
18-Sep-12,0.2
19-Sep-12,0.51
20-Sep-12,0.45
21-Sep-12,-0.41
22-Sep-12,0.15
23-Sep-12,-4.27
24-Sep-12,0.1
25-Sep-12,-0.12
26-Sep-12,0.56
27-Sep-12,-0.49
28-Sep-12,-0.06
29-Sep-12,-1.49
30-Sep-12,0.67
1-Oct-12,1.39
2-Oct-12,0.17
3-Oct-12,0.53
4-Oct-12,-0.58
5-Oct-12,2.07
6-Oct-12,0.35
7-Oct-12,0.25
8-Oct-12,1.77
9-Oct-12,-0.37
10-Oct-12,0.19
11-Oct-12,0.22
12-Oct-12,-0.11
13-Oct-12,0.74
14-Oct-12,1.4
15-Oct-12,0.42
16-Oct-12,-1.73
17-Oct-12,-0.52
18-Oct-12,-3.72
19-Oct-12,1.07
20-Oct-12,0.4
21-Oct-12,0.92
22-Oct-12,-2.68
23-Oct-12,-0.66
24-Oct-12,-2.15
25-Oct-12,0.9
26-Oct-12,0.15
27-Oct-12,0.88
28-Oct-12,1.35
29-Oct-12,1.79
30-Oct-12,1.28
31-Oct-12,0.44
1-Nov-12,0.35
2-Nov-12,0.88
3-Nov-12,0.6
4-Nov-12,0.1
5-Nov-12,1.55
6-Nov-12,1.18
7-Nov-12,-0.37
8-Nov-12,-0.43
9-Nov-12,-0.64
10-Nov-12,-0.42
11-Nov-12,-0.48
12-Nov-12,0.61
13-Nov-12,0.55
14-Nov-12,0.68
15-Nov-12,0.23
16-Nov-12,0.58
17-Nov-12,-0.2
18-Nov-12,-0.31
19-Nov-12,-0.66
20-Nov-12,-1.55
21-Nov-12,-0.94
22-Nov-12,-0.65
23-Nov-12,0.8
24-Nov-12,-3.07
25-Nov-12,-0.21
26-Nov-12,-0.22
27-Nov-12,0.15
28-Nov-12,-0.78
29-Nov-12,0.32
30-Nov-12,2.54
1-Dec-12,3.02
2-Dec-12,-0.45
