Date,Open,High,Low,Close,Volume
01-May-12,584.9,596.76,581.23,582.13,21821359
30-Apr-12,597.8,598.4,583,583.98,18076434
27-Apr-12,605.07,606.18,600.5,603,14527500
26-Apr-12,614.27,614.69,602.13,607.7,19145182
25-Apr-12,615.64,618,606,610,32346810
24-Apr-12,562.61,567.69,555,560.28,38442834
23-Apr-12,570.61,576.67,556.62,571.7,34518497
20-Apr-12,591.38,594.62,570.42,572.98,36820544
19-Apr-12,600.22,604.73,584.52,587.44,29811195
18-Apr-12,613.72,620.25,602.71,608.34,34090353
17-Apr-12,578.94,610,571.91,609.7,36624496
16-Apr-12,610.06,610.28,578.25,580.13,37528008
13-Apr-12,624.11,624.7,603.51,605.23,30701581
12-Apr-12,625,631.33,620.5,622.77,21940309
11-Apr-12,636.2,636.87,623.34,626.2,24878967
10-Apr-12,639.93,644,626,628.44,31774636
09-Apr-12,626.13,639.84,625.3,636.23,21340578
05-Apr-12,626.98,634.66,623.4,633.68,22902694
04-Apr-12,624.35,625.86,617,624.31,20463585
03-Apr-12,627.3,632.21,622.51,629.32,29714508
02-Apr-12,601.83,618.77,600.38,618.63,21369494
30-Mar-12,608.77,610.56,597.94,599.55,26108485
29-Mar-12,612.78,616.56,607.23,609.86,21722776
28-Mar-12,618.38,621.45,610.31,617.62,23409267
27-Mar-12,606.18,616.28,606.06,614.48,21683163
26-Mar-12,599.79,607.15,595.26,606.98,21276317
23-Mar-12,600.49,601.8,594.4,596.05,15374545
22-Mar-12,597.78,604.5,595.53,599.34,22290414
21-Mar-12,602.74,609.65,601.41,602.5,23001482
20-Mar-12,599.51,606.9,582,605.96,29166719
19-Mar-12,598.37,601.77,589.05,601.1,32186970
16-Mar-12,584.72,589.2,578,585.57,29481697
15-Mar-12,599.61,600.01,578.55,585.56,41416824
14-Mar-12,578.05,594.72,575.4,589.58,50672821
13-Mar-12,557.54,568.18,555.75,568.1,24673237
12-Mar-12,548.98,552,547,552,14545717
09-Mar-12,544.21,547.74,543.11,545.17,14960676
08-Mar-12,534.69,542.99,532.12,541.99,18444389
07-Mar-12,536.8,537.78,523.3,530.69,28518507
06-Mar-12,523.66,533.69,516.22,530.26,28937093
05-Mar-12,545.42,547.48,526,533.16,28897169
02-Mar-12,544.24,546.8,542.52,545.18,15418227
01-Mar-12,548.17,548.21,538.77,544.47,24401884
29-Feb-12,541.56,547.61,535.7,542.44,34000054
28-Feb-12,527.96,535.41,525.85,535.41,21442354
27-Feb-12,521.31,528.5,516.28,525.76,19556472
